test_labels,pred_labels,accuracy,loss_hist
1,1,0.806,23.396930289465228
0,0,0.806,1.2429340465066974
9,9,0.806,0.9879080902148591
1,1,0.806,0.9253840664946834
6,6,0.806,0.8863066736492523
6,4,0.806,0.7516472388509736
6,6,0.806,0.7122998557646443
6,0,0.806,0.7144549556073735
8,8,0.806,0.6668279263997589
0,0,0.806,0.6328366402459875
0,4,0.806,0.6317818512539416
6,4,0.806,0.60545250910819
9,9,0.806,0.564706523390327
9,9,0.806,0.6417758630006666
8,8,0.806,0.6031038330229225
0,0,0.806,0.5515386507805776
9,9,0.806,0.5773815118305506
6,0,0.806,0.5161851139428639
2,2,0.806,0.5354062702978916
3,3,0.806,0.5583455563962056
3,3,0.806,0.4972568162897198
3,3,0.806,0.5880171773727542
6,4,0.806,0.543249190068712
7,7,0.806,0.48686384826939205
6,0,0.806,0.48997828523215964
1,1,0.806,0.4851105253018206
3,3,0.806,0.4882386446630938
2,2,0.806,0.4834349231152849
9,9,0.806,0.4457658773906707
2,4,0.806,0.45891137914173014
6,6,0.806,0.4454675939832775
1,1,0.806,0.4405926565990208
6,6,0.806,0.43569965589256354
3,3,0.806,0.5752436488160971
2,6,0.806,0.4406811637782925
5,5,0.806,0.46831012765305
3,3,0.806,0.5230092258217285
0,0,0.806,0.44612315660296653
4,4,0.806,0.5328722806886346
3,0,0.806,0.5405713822339688
2,0,0.806,0.41098776342275956
1,1,0.806,0.4766300600978169
6,2,0.806,0.4129487723060779
3,3,0.806,0.44021758359090174
8,8,0.806,0.4825780974715572
7,7,0.806,0.437312811010498
3,3,0.806,0.42094935485695073
1,1,0.806,0.5204513665401173
4,4,0.806,0.44293735171615994
9,9,0.806,0.44839640487962584
6,4,0.806,0.43408518821321795
5,5,0.806,0.42303564228361945
9,9,0.806,0.39247227227051384
0,0,0.806,0.4048183218446628
0,0,0.806,0.42295358498294694
0,0,0.806,0.4006383135195323
7,7,0.806,0.40677445787731636
8,8,0.806,0.3876958235627657
7,7,0.806,0.39006606712115344
5,5,0.806,0.4714965150763907
5,7,0.806,0.4607045837120335
2,2,0.806,0.3932096144273284
4,4,0.806,0.3988734108261232
7,7,0.806,0.5157032141787262
1,1,0.806,0.38923525920138996
7,7,0.806,0.3896596979358477
0,0,0.806,0.4061844311670545
6,0,0.806,0.3866452952033165
6,6,0.806,0.3925444863631449
8,8,0.806,0.4039145292594328
5,5,0.806,0.4373558114062639
0,0,0.806,0.4054430652547819
3,3,0.806,0.3673676777967113
7,7,0.806,0.3651929242495078
7,7,0.806,0.37673238615326743
7,7,0.806,0.4278789244251297
4,4,0.806,0.4576427209598887
5,7,0.806,0.3915013365587523
3,6,0.806,0.41396557039474075
4,4,0.806,0.4297367798131222
1,1,0.806,0.4290216715216929
0,0,0.806,0.38890975392018207
8,8,0.806,0.5070795373212056
9,9,0.806,0.36843692566340835
7,7,0.806,0.41631253948632374
2,4,0.806,0.3945880408831553
4,4,0.806,0.4093888976839009
8,5,0.806,0.36985510913143566
7,7,0.806,0.41986445788922827
7,7,0.806,0.3913909066424349
3,3,0.806,0.41896554611016323
3,3,0.806,0.4989584471554099
9,9,0.806,0.39343487828053086
2,2,0.806,0.5330388772755648
2,2,0.806,0.3787058047028938
8,8,0.806,0.40846750282120253
4,4,0.806,0.36002992287700714
4,2,0.806,0.4236276025196322
8,8,0.806,0.35658639704191303
6,6,0.806,0.4423034340136441
7,7,0.806,0.4233076077863324
5,5,0.806,
3,3,0.806,
1,1,0.806,
9,9,0.806,
1,1,0.806,
8,8,0.806,
6,6,0.806,
6,6,0.806,
6,6,0.806,
7,7,0.806,
0,0,0.806,
5,5,0.806,
3,4,0.806,
7,7,0.806,
6,6,0.806,
8,8,0.806,
8,0,0.806,
9,9,0.806,
5,9,0.806,
5,5,0.806,
9,9,0.806,
4,4,0.806,
8,8,0.806,
3,6,0.806,
4,4,0.806,
4,4,0.806,
7,7,0.806,
0,0,0.806,
1,1,0.806,
8,8,0.806,
2,2,0.806,
1,1,0.806,
5,5,0.806,
0,3,0.806,
8,8,0.806,
5,5,0.806,
5,5,0.806,
5,5,0.806,
8,8,0.806,
1,1,0.806,
4,4,0.806,
5,5,0.806,
6,6,0.806,
9,9,0.806,
8,8,0.806,
8,8,0.806,
7,7,0.806,
5,7,0.806,
3,1,0.806,
7,7,0.806,
8,8,0.806,
6,6,0.806,
6,4,0.806,
6,8,0.806,
8,8,0.806,
1,1,0.806,
6,6,0.806,
0,0,0.806,
1,1,0.806,
4,4,0.806,
7,7,0.806,
6,0,0.806,
1,1,0.806,
8,8,0.806,
1,1,0.806,
2,2,0.806,
9,9,0.806,
4,4,0.806,
2,0,0.806,
2,2,0.806,
7,7,0.806,
5,5,0.806,
7,5,0.806,
6,0,0.806,
6,0,0.806,
9,9,0.806,
1,1,0.806,
6,8,0.806,
9,9,0.806,
7,7,0.806,
6,2,0.806,
7,7,0.806,
0,0,0.806,
8,8,0.806,
2,2,0.806,
3,3,0.806,
4,4,0.806,
1,1,0.806,
1,1,0.806,
2,2,0.806,
0,0,0.806,
2,2,0.806,
9,9,0.806,
0,0,0.806,
