test_labels,pred_labels,accuracy,loss_hist
1,1,0.813,19.10202093547487
0,0,0.813,1.9020054135826743
9,9,0.813,1.4791170066466448
1,1,0.813,1.2800027872345117
6,6,0.813,1.1681413512324073
6,6,0.813,1.0847640570875936
6,6,0.813,1.0333480625654818
6,0,0.813,0.988743614861944
8,8,0.813,0.9849412786418044
0,0,0.813,0.9114626905259465
0,2,0.813,0.8812053522623937
6,6,0.813,0.8562397901393333
9,9,0.813,0.8397069959538129
9,9,0.813,0.8154284465308483
8,8,0.813,0.7993584903923596
0,0,0.813,0.7898193142491292
9,9,0.813,0.7715358941799255
6,0,0.813,0.7656379248122882
2,2,0.813,0.7493509851514716
3,3,0.813,0.7408615697899525
3,3,0.813,0.7231285812672925
3,3,0.813,0.7107255295940469
6,6,0.813,0.7104790780602971
7,7,0.813,0.6905129423015224
6,6,0.813,0.694854822461484
1,1,0.813,0.6780184523657823
3,3,0.813,0.6748796395572293
2,2,0.813,0.6632304474886465
9,9,0.813,0.6649496209588682
2,4,0.813,0.6465216424219175
6,6,0.813,0.6461722105225424
1,1,0.813,0.632841278510365
6,6,0.813,0.6378027190809774
3,3,0.813,0.6300145374929543
2,2,0.813,0.624134594416967
5,5,0.813,0.6139665013752155
3,3,0.813,0.6074425972249585
0,0,0.813,0.6046576375730027
4,4,0.813,0.5963437461566995
3,3,0.813,0.5968777249461146
2,0,0.813,0.593721156691812
1,1,0.813,0.59101429314807
6,2,0.813,0.5876788025814825
3,3,0.813,0.5776852161897114
8,8,0.813,0.573958307287203
7,7,0.813,0.5732852034461884
3,3,0.813,0.5698203784814632
1,1,0.813,0.5643483632919188
4,4,0.813,0.5590001909710045
9,9,0.813,0.5529760739352915
6,4,0.813,0.5548995283742217
5,5,0.813,0.5519782156063194
9,9,0.813,0.5526286111370716
0,0,0.813,0.5441305009848477
0,6,0.813,0.5405154482903379
0,0,0.813,0.5380842417037214
7,7,0.813,0.5396378485125745
8,8,0.813,0.5317608665766003
7,7,0.813,0.5278680616514237
5,5,0.813,0.5308291800285744
5,7,0.813,0.5268985066629785
2,2,0.813,0.5302552703063642
4,4,0.813,0.5188854297191223
7,7,0.813,0.5187753873007058
1,1,0.813,0.5144164013082372
7,7,0.813,0.514570239741985
0,0,0.813,0.5222305072972421
6,0,0.813,0.5079561608628516
6,6,0.813,0.5196717182423287
8,8,0.813,0.5043905520373425
5,5,0.813,0.5088324483718403
0,0,0.813,0.52342189639227
3,3,0.813,0.49885511526784093
7,7,0.813,0.5053250553880749
7,7,0.813,0.49617391304036557
7,7,0.813,0.5020346037416258
4,4,0.813,0.491810229556471
5,7,0.813,0.49018764578235663
3,6,0.813,0.4929074676062913
4,6,0.813,0.4842808109166885
1,1,0.813,0.4939843003757446
0,0,0.813,0.4840004446270581
8,8,0.813,0.48454105489549804
9,9,0.813,0.48130001516787174
7,7,0.813,0.4809625492303393
2,2,0.813,0.47528464386378183
4,4,0.813,0.47957060973325133
8,8,0.813,0.47452567634277815
7,7,0.813,0.4773241104767756
7,7,0.813,0.47706859244309846
3,3,0.813,0.4723487260718933
3,3,0.813,0.46683398399151427
9,9,0.813,0.46870467364759366
2,2,0.813,0.4793032935288322
2,2,0.813,0.4663622099978801
8,8,0.813,0.4607202126988
4,2,0.813,0.45995349517052175
4,2,0.813,0.4713355344806613
8,8,0.813,0.4608142136272813
6,6,0.813,0.4652049823873607
7,7,0.813,0.46020979862535183
5,5,0.813,0.4661899703688399
3,3,0.813,0.45331617476563224
1,1,0.813,0.4554204305072943
9,9,0.813,0.4511621663161169
1,1,0.813,0.4535524778969724
8,8,0.813,0.45144432908544596
6,6,0.813,0.4486831830394229
6,6,0.813,0.4523547270576204
6,6,0.813,0.44687683058216726
7,7,0.813,0.44443260247538324
0,0,0.813,0.4445835095900565
5,5,0.813,0.4463861868469322
3,4,0.813,0.4461921072574794
7,7,0.813,0.4518821849283878
6,6,0.813,0.43983895429414843
8,8,0.813,0.4478951129067488
8,0,0.813,0.4406975250903388
9,9,0.813,0.43722452330893
5,2,0.813,0.44661359135611484
5,5,0.813,0.4356435789534595
9,9,0.813,0.43364932636486775
4,4,0.813,0.4422522460772405
8,8,0.813,0.4347890815076051
3,6,0.813,0.43095183891315353
4,4,0.813,0.42897168082285797
4,6,0.813,0.4362322657845147
7,7,0.813,0.4360046521028414
0,0,0.813,0.42987498706497607
1,1,0.813,0.4325093151533492
8,8,0.813,0.425946221171065
2,2,0.813,0.4334339198396064
1,1,0.813,0.4244760259386741
5,5,0.813,0.4259425041917687
0,3,0.813,0.43267040180708083
8,8,0.813,0.4350930739833247
5,5,0.813,0.4311650731704188
5,5,0.813,0.425724115122913
5,5,0.813,0.42559094625843935
8,8,0.813,0.4250056407563711
1,1,0.813,0.42967145120955985
4,6,0.813,0.41716307536209213
5,7,0.813,0.4164714888995595
6,6,0.813,0.4219621432605141
9,9,0.813,0.4159962056795776
8,8,0.813,0.4153276259925495
8,8,0.813,0.41680134169699046
7,7,0.813,0.41657962820020755
5,5,0.813,0.41892772102695813
3,1,0.813,0.4164280750609105
7,7,0.813,0.41725913010042254
8,8,0.813,0.41601767037074194
6,6,0.813,0.4146555208076127
6,6,0.813,0.4154400740709293
6,0,0.813,0.41272127215252563
8,8,0.813,0.41268565039130967
1,1,0.813,0.41424113229493764
6,6,0.813,0.40883836897307924
0,0,0.813,0.41103194484843436
1,1,0.813,0.4091461922601673
4,4,0.813,0.4172424944199744
7,7,0.813,0.4232110182283051
6,0,0.813,0.410460447113048
1,1,0.813,0.4078289315879113
8,8,0.813,0.4037403862083338
1,1,0.813,0.40696600817732875
2,2,0.813,0.40470020633630227
9,9,0.813,0.4052380130983263
4,8,0.813,0.4013180718718791
2,0,0.813,0.4029246063179806
2,2,0.813,0.40658136083232316
7,7,0.813,0.4057415223695734
5,5,0.813,0.41985798760257764
7,5,0.813,0.4058768117763508
6,6,0.813,0.405769469712778
6,3,0.813,0.3982952137321774
9,9,0.813,0.4059845729569086
1,1,0.813,0.40646700822096743
6,6,0.813,0.3974374766128867
9,9,0.813,0.40059620850769484
7,7,0.813,0.40334253677173315
6,2,0.813,0.3963192415105425
7,7,0.813,0.40062451504877317
0,0,0.813,0.39649617207401916
8,8,0.813,0.3980549592997907
2,2,0.813,0.39580032283490996
3,3,0.813,0.40336884248707583
4,2,0.813,0.39649316301240467
1,1,0.813,0.39192456616562044
1,1,0.813,0.3959589229259826
2,2,0.813,0.39233299391605597
0,0,0.813,0.39688508387128324
2,2,0.813,0.39208388552676166
9,9,0.813,0.39832564996587366
0,0,0.813,0.4084672147273267
4,4,0.813,0.39259742044927565
4,4,0.813,0.3877872163113657
2,2,0.813,0.39093021630503133
8,8,0.813,0.39145409448079305
6,4,0.813,0.3947033320201044
6,6,0.813,0.394410066754704
0,6,0.813,0.38788177199735235
7,7,0.813,0.3890036645704673
1,1,0.813,0.39205981153709873
6,6,0.813,0.3872417452715745
4,4,0.813,0.3954219239569653
4,4,0.813,0.3930704431418141
0,0,0.813,0.3968757572307453
1,1,0.813,0.3910812918292721
9,9,0.813,0.38762910423035135
6,2,0.813,0.38510829147596476
4,4,0.813,0.38568092050268143
9,9,0.813,0.3852963584829798
9,9,0.813,0.38403370734113873
3,3,0.813,0.38252566390443815
1,1,0.813,0.38990806771098413
9,9,0.813,0.38236925398051097
4,4,0.813,0.39056860256816706
5,5,0.813,0.3844606415716669
3,3,0.813,0.38847764118319555
0,0,0.813,0.385132022458967
0,0,0.813,0.38563661637559066
8,8,0.813,0.39441860138941826
8,8,0.813,0.3815742167837052
8,8,0.813,0.3791351176209559
2,2,0.813,0.3839089591468529
7,7,0.813,0.3790821216479998
5,5,0.813,0.3847536477254515
0,0,0.813,0.3848787680719632
0,0,0.813,0.38109280992910527
9,9,0.813,0.3791932157482364
2,2,0.813,0.38329040874813625
3,6,0.813,0.3849912147528662
6,0,0.813,0.38421048391304025
0,0,0.813,0.3926163129652833
4,4,0.813,0.37617756334058444
3,3,0.813,0.3848986354842487
7,7,0.813,0.3763207557366875
7,7,0.813,0.37478334739074876
1,1,0.813,0.37730513792227055
1,1,0.813,0.384472107781736
6,2,0.813,0.3779321534677426
3,3,0.813,0.3739824030874732
2,2,0.813,0.3812800738140783
9,9,0.813,0.3743471401355952
7,7,0.813,0.37685233085985154
7,7,0.813,0.37353726971952417
5,5,0.813,0.37505066688013045
6,6,0.813,0.37598956693204444
8,8,0.813,0.3840931699921259
8,8,0.813,0.3924310552304815
6,2,0.813,0.37726731502748573
0,0,0.813,0.3725707918453163
4,4,0.813,0.3739015240111482
2,4,0.813,0.37452499700671493
2,2,0.813,0.3756744243786514
8,7,0.813,0.37794017619490916
5,5,0.813,0.37427459468285784
7,7,0.813,0.37301386161499794
9,7,0.813,0.38005353944130427
6,6,0.813,0.379365594388621
7,7,0.813,0.37211496353630713
2,2,0.813,0.3737356947126871
5,9,0.813,0.3717101157810915
4,6,0.813,0.3695267221225305
8,8,0.813,0.37057449241399415
1,1,0.813,0.37152339691851416
7,7,0.813,0.3722645663590404
1,1,0.813,0.3715775496597834
5,5,0.813,0.3875524338558311
6,6,0.813,0.3733052730169863
9,7,0.813,0.3775098319254971
5,5,0.813,0.3698708808435344
2,2,0.813,0.3798239356079146
1,1,0.813,0.36830257461904303
8,8,0.813,0.36606975933990965
1,1,0.813,0.3750396505881128
2,4,0.813,0.36740314935887236
3,6,0.813,0.37407753692381424
4,2,0.813,0.3728588217995354
8,8,0.813,0.3806616901402936
4,4,0.813,0.36699828482029334
0,0,0.813,0.371745253914616
